 ,Player,Id,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,COMB
131,D'Angelo Russell,russeda01,PG,22,BRK,7,201,16.6,0.586,0.484,0.176,2.3,12.2,7.5,30.5,0.7,1.1,18.3,25.9,0.2,0.1,0.3,0.069,1.4,-1.3,0,0.1,4
132,Buddy Hield,hieldbu01,SG,25,SAC,8,257,16.5,0.622,0.336,0.168,2.8,16.6,9.7,10.4,0.5,1.7,14.8,22.9,0.3,0.2,0.5,0.094,1.5,-1.5,0,0.1,6
133,Luke Kennard,kennalu01,SG,22,DET,3,43,16.5,0.708,0.167,0,0,13.5,6.3,10.9,1.1,2,7.7,12.7,0.1,0,0.2,0.168,0.4,0.1,0.4,0,2.12
134,Davis Bertans,bertada01,PF,26,SAS,6,87,16.2,0.721,0.773,0.091,4.6,9.4,6.9,12.7,1.1,1,11.6,12.8,0.2,0,0.3,0.14,3.3,-1.9,1.4,0.1,4.42
135,Maxi Kleber,klebima01,PF,27,DAL,7,136,16.2,0.627,0.641,0.282,7,18.4,12.4,2.1,1,6.2,10.2,14.9,0.2,0.1,0.3,0.116,-0.5,-0.2,-0.7,0,2.79
136,Marcus Morris,morrima03,PF,29,BOS,7,178,16.1,0.645,0.449,0.304,2.2,26.4,14.2,6.7,0.8,0.5,13.3,21.7,0.2,0.5,0.7,0.193,-0.4,1.3,0.9,0.1,8.27
137,Ersan Ilyasova,ilyaser01,PF,31,MIL,7,160,16,0.625,0.458,0.229,7.5,19.5,14.3,9.1,1.4,1.4,10.2,15,0.3,0.4,0.7,0.225,1.7,3.5,5.2,0.3,11.56
138,Jonas Jerebko,jerebjo01,PF,31,GSW,8,131,15.8,0.675,0.514,0.371,5.5,24.2,15.6,10.1,1.4,0,10.9,14.8,0.4,0.2,0.5,0.192,3.1,-1,2.1,0.1,6.63
139,Markieff Morris,morrima02,PF,29,WAS,6,154,15.8,0.647,0.509,0.245,2,20.3,11,9.3,0.9,3.6,13.3,18.3,0.2,0.1,0.3,0.089,0.6,0.3,0.8,0.1,4.24
140,Trae Young,youngtr01,PG,20,ATL,7,220,15.8,0.552,0.448,0.352,1.4,7.8,4.6,34.4,0.8,0.7,14.8,26.4,0.2,0.1,0.3,0.075,0,-3.7,-3.6,-0.1,0.92
