Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
272,Skal Labissiere,PF,22,SAC,12,101,6.4,0.518,0.37,0.407,2,18.9,10.3,6.3,0.9,1.7,15.9,15.5,-0.1,0.1,0,0.014,-4.9,-1,-5.9,-0.1
273,Jeremy Lamb,SG,26,CHO,48,1370,15.9,0.544,0.323,0.252,2.9,18.1,10.4,10.7,1.6,0.8,6.7,21.9,1.7,1.3,3,0.105,0.1,-0.8,-0.7,0.4
274,Zach LaVine,SG,23,CHI,45,1525,17.6,0.56,0.283,0.321,1.6,12.5,7,22.2,1.4,1,14.5,31.1,0.4,1,1.4,0.045,0.8,-1.6,-0.8,0.4
275,Jake Layman,SF,24,POR,41,696,14.5,0.612,0.454,0.115,5,12.3,8.7,5.4,1.2,1.6,9.1,16,1.1,0.6,1.8,0.121,0.8,-0.8,0,0.3
276,T.J. Leaf,PF,21,IND,30,246,14.2,0.556,0.232,0.171,7.9,17.7,12.9,8.3,0.8,2.2,9.3,17.2,0.3,0.3,0.6,0.117,-1.7,-0.3,-2.1,0
277,Courtney Lee,SG,33,NYK,12,160,13.9,0.527,0.34,0.298,3.8,14.4,8.9,14.9,2.4,1.1,8.6,15.4,0.2,0.1,0.3,0.085,-0.9,-0.1,-1,0
278,Damion Lee,SG,26,GSW,17,202,11.6,0.618,0.524,0.206,2.2,14.3,8.5,1.9,1.9,0,10.4,16.2,0.2,0.2,0.4,0.087,-1.1,-2.9,-3.9,-0.1
279,Alex Len,C,25,ATL,47,927,16.1,0.548,0.221,0.341,11.8,19.5,15.6,7.9,0.9,4.2,13.5,22.7,0.7,0.7,1.4,0.073,-1.7,-0.5,-2.2,0
280,Kawhi Leonard,SF,27,TOR,39,1367,26.9,0.61,0.253,0.398,4.3,19.8,12.2,15.1,2.6,1.1,8.3,30.1,4.6,2.2,6.8,0.237,4.7,0.8,5.5,2.6
281,Meyers Leonard,C,26,POR,48,702,16.9,0.682,0.465,0.202,6.2,22.5,14.5,12.1,0.9,1,14,15.1,1.8,0.7,2.6,0.175,2.1,0,2,0.7
282,Jon Leuer,PF,29,DET,31,343,14.5,0.635,0.091,0.293,6.6,20.9,13.4,5.7,1.7,1,15.8,16.5,0.4,0.5,0.9,0.123,-2.6,0.4,-2.2,0
283,Caris LeVert,SF,24,BRK,14,416,18.3,0.557,0.299,0.299,3.6,11.9,7.7,21.1,2,0.9,11.5,26.5,0.6,0.4,1,0.113,1.4,-0.6,0.8,0.3
284,Damian Lillard,PG,28,POR,51,1801,24,0.592,0.396,0.353,2.5,11,6.8,28.8,1.5,1.1,11.1,30.1,6,1.5,7.6,0.201,6.3,-1.1,5.2,3.2
285,Jeremy Lin,PG,30,ATL,46,909,16.2,0.597,0.346,0.461,1.7,11,6.3,27.4,1.7,0.6,17.6,22.6,1.5,0.4,1.9,0.098,0.5,-2.5,-2,0
286,Shaun Livingston,PG,33,GSW,40,616,12.9,0.535,0.013,0.279,5.1,8.7,7,16.6,1.6,2.6,12.2,13.6,0.9,0.5,1.4,0.109,-1.6,0.4,-1.2,0.1
287,Zach Lofton,SG,26,DET,1,4,-9.9,0,1,0,0,0,0,0,12.2,0,50,21.3,-0.1,0,0,-0.441,-16.9,8.2,-8.7,0
288,Kevon Looney,C,22,GSW,51,1073,17.7,0.641,0.041,0.317,14.2,16,15.2,11.5,1.3,3.4,10.9,12.3,3.2,1.2,4.4,0.197,2.5,1.9,4.3,1.7
289,Brook Lopez,C,30,MIL,50,1399,14,0.603,0.689,0.13,1.5,12.9,7.6,4.9,0.7,6.5,8.7,16.6,1.4,2.5,3.9,0.133,0,2.4,2.4,1.6
290,Robin Lopez,C,30,CHI,44,742,11.6,0.549,0.08,0.19,8.6,9.9,9.3,8.5,0.5,4.7,19.1,18,-0.2,0.5,0.3,0.019,-4,0.7,-3.3,-0.2
291,Kevin Love,PF,30,CLE,4,136,15.7,0.478,0.369,0.508,7.9,37.7,22.2,15.9,0.4,0.6,11.2,28.9,0,0.1,0.1,0.026,-2,-2.6,-4.6,-0.1
292,Kyle Lowry,PG,32,TOR,42,1442,16.8,0.552,0.589,0.271,1.8,12,7,36.6,1.9,1.2,18.2,19.4,2.5,1.7,4.2,0.14,2.5,0.1,2.6,1.7
293,Jordan Loyd,PG,25,TOR,5,24,19.3,0.888,0.4,0.8,4.6,26.5,15.7,11.2,0,0,22.8,15.6,0.1,0,0.1,0.239,1.9,-1.5,0.3,0
294,Kalin Lucas,PG,29,DET,1,6,16.6,0.532,1,2,0,56.8,27.1,21,0,0,0,13.3,0,0,0,0.234,-1.2,0.7,-0.5,0
295,Timothe Luwawu-Cabarrot,SF,23,OKC,21,123,3.6,0.383,0.512,0.14,3.3,11.9,7.5,4.1,1.5,0.7,9.9,16.7,-0.2,0.2,-0.1,-0.025,-6.6,-1.7,-8.3,-0.2
296,Tyler Lydon,PF,22,DEN,20,79,8.9,0.606,0.625,0.188,6.9,12.5,9.7,6.5,1.3,0,18.8,11.6,0.1,0.1,0.1,0.071,-1.2,-1.6,-2.8,0
297,Trey Lyles,PF,23,DEN,49,915,12.5,0.491,0.386,0.241,4.6,19.6,12.1,10.7,1.4,2,11,23.4,-0.2,1.1,0.9,0.049,-2.7,-0.8,-3.5,-0.3
298,Shelvin Mack,PG,28,MEM,51,1162,11.7,0.51,0.325,0.2,1.7,8.3,5,24.2,1.8,0.2,12.8,18.3,0.3,1.1,1.4,0.056,-1.9,-1.5,-3.4,-0.4
299,Daryl Macon,SG,23,DAL,2,4,32.4,1,0,0,0,0,0,0,12.1,0,0,10.6,0,0,0,0.338,6.8,7.2,14,0
300,J.P. Macura,SG,23,CHO,1,14,0.6,0.25,0.5,0,0,15.5,7.7,20.6,0,0,0,24.5,-0.1,0,-0.1,-0.206,-8,-4.7,-12.7,0
301,Ian Mahinmi,C,32,WAS,30,436,12.5,0.562,0.15,0.738,9.6,17.3,13.4,7.2,2.5,3,15.2,12.3,0.5,0.5,1,0.111,-2.1,2,-0.1,0.2
302,Thon Maker,C,21,MIL,35,409,13.1,0.546,0.582,0.276,4.6,18.8,12.2,5.8,1.1,3.8,5.7,16.4,0.4,0.8,1.2,0.137,-1.4,0.8,-0.6,0.1
303,Boban Marjanovic,C,30,LAC,33,342,24.9,0.673,0.016,0.656,14.7,26.1,20.6,9.4,1.1,3.9,17.5,24.7,1.1,0.5,1.5,0.217,1,0.4,1.4,0.3
304,Lauri Markkanen,PF,21,CHI,29,914,15.4,0.542,0.446,0.175,3.7,23.9,13.7,5.3,1.3,2.2,9,24.2,0.1,1,1,0.055,-1.6,-1.3,-2.9,-0.2
305,Jarell Martin,PF,24,ORL,28,234,8.8,0.517,0.423,0.113,3.2,18.5,10.6,8.1,0.4,2.5,11.8,15.8,0,0.2,0.2,0.039,-4.3,-0.7,-4.9,-0.2
306,Frank Mason,PG,24,SAC,33,383,12.3,0.484,0.338,0.353,1.1,8.9,4.9,28,1.9,0.9,15.6,20.1,0,0.3,0.3,0.038,-2.5,-2.3,-4.8,-0.3
307,Wesley Matthews,SF,32,DAL,44,1312,11.5,0.556,0.561,0.235,1.7,6.6,4.2,11.6,1.2,0.8,10.1,18.7,1.2,0.9,2.1,0.078,0.4,-1.2,-0.8,0.4
308,Luc Mbah a Moute,PF,32,LAC,4,61,6.9,0.495,0.333,0.278,3.6,8.4,6.1,4.6,0.8,1.3,9,15.4,0,0,0,0.011,-3.1,-1.9,-5,0
309,Patrick McCaw,SG,23,TOT,9,101,0.7,0.267,0.5,0.125,3.3,12.9,8.1,8.4,2.4,0,32.2,10.7,-0.3,0.1,-0.2,-0.101,-7.5,0.6,-6.8,-0.1
310,CJ McCollum,SG,27,POR,51,1733,16.8,0.55,0.334,0.159,2.8,9.1,6,13,1.2,0.8,7.7,25.8,2.6,1.2,3.8,0.106,1.7,-1.9,-0.3,0.7
311,T.J. McConnell,PG,26,PHI,46,967,13.7,0.575,0.115,0.103,2.1,8.9,5.6,26.1,2.6,1.1,18.6,14,1.1,1.1,2.2,0.11,-1.2,0,-1.3,0.2
312,Doug McDermott,SF,27,IND,51,891,10.3,0.606,0.563,0.199,1.3,7.1,4.2,6.5,0.6,0.6,9,15.2,1,0.7,1.8,0.096,-0.3,-2.1,-2.4,-0.1
313,JaVale McGee,C,31,LAL,45,988,20.4,0.606,0.019,0.242,11.7,20.3,16.2,5.3,1.4,7.7,14.3,19.7,1.4,1.9,3.2,0.157,-1.6,3.6,1.9,1
314,Rodney McGruder,SG,27,MIA,47,1208,9.3,0.513,0.473,0.13,3.6,11.4,7.5,11.7,1.1,0.6,12.3,16,0.3,1.1,1.4,0.055,-1.6,-0.4,-2.1,0
315,Alfonzo McKinnie,SF,26,GSW,42,621,11.4,0.56,0.412,0.159,9.9,17.2,13.7,3.3,0.8,1.2,9.3,14.7,0.7,0.5,1.2,0.093,-0.8,-2.2,-3.1,-0.2
316,Ben McLemore,SG,25,SAC,19,158,10.6,0.541,0.641,0.188,1.9,9.4,5.6,3.4,1.8,1.6,6.7,19.4,0.1,0.1,0.2,0.055,-1,-2.7,-3.7,-0.1
317,Jordan McRae,SG,27,WAS,12,75,12.1,0.511,0.241,0.103,1.4,12,6.6,5.8,2.5,1.1,6.2,18.4,0,0.1,0.1,0.036,-4.1,-1.7,-5.8,-0.1
318,Salah Mejri,C,32,DAL,16,108,15.6,0.587,0.071,0.286,12.3,25.2,18.9,8.3,0.9,2.3,11.3,14,0.2,0.1,0.4,0.163,-1.6,1,-0.7,0
319,De'Anthony Melton,PG,20,PHO,33,675,9.7,0.45,0.399,0.093,2.6,11.8,7.2,22.8,3.6,2.1,21.5,16.4,-0.7,0.6,-0.1,-0.01,-3.5,1.2,-2.3,-0.1
320,Chimezie Metu,PF,21,SAS,21,112,9.5,0.429,0.044,0.378,8,18.5,13.3,13.4,2.2,1.5,18.6,25.3,-0.3,0.1,-0.1,-0.051,-6.9,-0.1,-7,-0.1
321,Khris Middleton,SF,27,MIL,48,1499,15.9,0.563,0.44,0.227,1.7,16.5,9.5,19,1.7,0.2,12.7,23.8,1.6,2.4,3.9,0.126,0.6,0.2,0.8,1.1
322,C.J. Miles,SF,31,TOR,38,540,7.4,0.466,0.66,0.2,2,10.6,6.4,5.2,1.5,1.4,8.4,18.8,-0.3,0.6,0.2,0.019,-2.6,-1.3,-3.9,-0.3
323,Darius Miller,SF,28,NOP,47,1168,8.5,0.569,0.77,0.13,0.6,6.6,3.7,8.5,1.3,1.4,10.4,12.5,0.8,0.4,1.3,0.052,0.3,-1.1,-0.8,0.3
324,Patty Mills,PG,30,SAS,53,1259,13.4,0.581,0.592,0.189,1.4,9.4,5.5,17,1.5,0.6,12.3,17.6,1.7,0.8,2.5,0.095,1.7,-1.5,0.2,0.7
325,Paul Millsap,PF,33,DEN,43,1109,18.6,0.569,0.212,0.391,8.6,19.1,13.9,10.5,2.4,2.9,10.9,20.1,2,1.7,3.7,0.16,0.6,1.7,2.4,1.2
326,Shake Milton,SG,22,PHI,12,106,16.8,0.583,0.564,0.128,7.3,8.8,8.1,14.9,1.8,2.2,4.6,17.1,0.3,0.1,0.4,0.175,2.8,-1,1.7,0.1
327,Nikola Mirotic,PF,27,NOP,32,925,17.9,0.591,0.568,0.248,5.4,24.2,15,5.3,1.1,2.3,7.6,21.8,1.7,0.9,2.6,0.135,1.7,-1.7,0.1,0.5
328,Donovan Mitchell,SG,22,UTA,49,1622,16.3,0.522,0.345,0.248,2.2,10.3,6.3,20.8,2.2,0.9,11.3,31.3,0.1,2.3,2.4,0.071,0.2,-0.3,0,0.8
329,Naz Mitrou-Long,SG,25,UTA,9,36,-2.1,0.357,0.714,0,0,6,3,10.9,0,0,30,11.9,-0.1,0,-0.1,-0.099,-8.1,-2,-10.1,-0.1
330,Malik Monk,SG,20,CHO,48,898,13,0.529,0.542,0.181,1.1,9.1,5,15,1.5,1.1,11.6,25.5,0,0.6,0.6,0.035,-0.2,-2.9,-3.1,-0.3
331,Greg Monroe,C,28,TOR,36,385,13.6,0.482,0.028,0.393,15.7,23.9,19.9,5.6,1.5,1.7,14.6,22.1,-0.1,0.6,0.5,0.065,-4.4,-0.5,-5,-0.3
332,E'Twaun Moore,SF,29,NOP,44,1294,11.4,0.563,0.314,0.109,2.7,6.1,4.5,9.4,1.2,0.5,9.3,16.9,1.2,0.3,1.5,0.057,0.1,-1.9,-1.8,0.1
333,Eric Moreland,PF,27,PHO,1,5,4,,,,0,68.5,33.8,0,0,0,,0,0,0,0,0.076,-14,-3.9,-17.9,0
334,Jaylen Morris,SG,23,MIL,4,29,12.3,0.46,0.3,0.2,0,16.8,8.9,18.1,3.2,0,8.4,17.3,0,0.1,0.1,0.09,-3.7,0.9,-2.8,0
335,Marcus Morris,PF,29,BOS,48,1315,16.4,0.609,0.466,0.203,3.5,20.2,11.8,7.8,1.1,1.1,9.5,20.9,2.2,1.9,4.1,0.149,0.9,-0.7,0.2,0.7
336,Markieff Morris,PF,29,WAS,34,883,12.5,0.543,0.439,0.223,5,17,10.9,9.8,1.3,1.9,11.5,19.7,0.4,0.6,1.1,0.057,-1.2,-0.7,-1.9,0
337,Monte Morris,PG,23,DEN,51,1256,16.5,0.573,0.32,0.104,1.8,9.6,5.7,22,1.9,0.1,6.9,16.9,2.9,1.1,4,0.153,1.7,-1.4,0.3,0.7
338,Johnathan Motley,PF,23,LAC,11,81,20.4,0.536,0.045,0.523,17.6,16.4,17,10.7,1.2,1,12.9,32.5,0.1,0.1,0.1,0.086,-0.9,-3.1,-4,0
339,Emmanuel Mudiay,PG,22,NYK,39,1036,15.9,0.533,0.275,0.259,2.4,10,6.1,24.8,1.4,1.1,13.4,25.4,0.6,0.3,0.9,0.042,0.4,-2.1,-1.6,0.1
340,Jamal Murray,PG,21,DEN,47,1574,15.4,0.528,0.328,0.192,3.1,11.1,7.1,21.6,1.2,1,12,25.4,1.6,1.2,2.8,0.085,0.5,-1.4,-0.9,0.4
341,Dzanan Musa,SG,19,BRK,7,26,5.6,0.403,0.429,0.143,4.1,8.3,6.2,6.5,3.7,0,16.8,29.1,-0.1,0,-0.1,-0.172,-7.9,-2.3,-10.2,-0.1
342,Mike Muscala,PF,27,PHI,45,991,10.7,0.566,0.716,0.261,5.6,14.9,10.4,8.2,0.8,2.2,12.3,14.4,1,1,1.9,0.093,-0.1,-0.3,-0.3,0.4
343,Sviatoslav Mykhailiuk,SF,21,LAL,37,406,5.6,0.444,0.656,0.125,2.1,5.8,4,10.1,1.5,0,12.9,15.8,-0.4,0.3,-0.1,-0.011,-3.6,-2,-5.5,-0.4
344,Abdel Nader,SF,25,OKC,33,319,9.9,0.554,0.38,0.139,1.9,17,9.4,3.8,1,0.5,10.2,16.3,0.1,0.4,0.5,0.081,-4,-1.9,-5.9,-0.3
345,Larry Nance,C,26,CLE,42,1061,18.5,0.579,0.148,0.307,9.1,24.6,16.5,18,2.8,2.3,14.7,15.2,1.9,0.9,2.8,0.128,1,2.5,3.5,1.5
346,Shabazz Napier,PG,27,BRK,41,717,16.3,0.546,0.484,0.352,1.9,9.2,5.5,19.9,2.2,1.4,11.8,24.5,0.9,0.7,1.6,0.109,0.7,-1.2,-0.5,0.3
347,Raul Neto,PG,26,UTA,19,228,13.9,0.617,0.386,0.2,1,12.9,7,25.2,1.7,0,19.1,17.7,0.3,0.3,0.6,0.122,-0.7,-0.7,-1.4,0
348,Georges Niang,PF,25,UTA,39,290,11.4,0.584,0.694,0.092,1.9,15.7,8.9,10.2,1.2,0.8,10.5,16.9,0.3,0.4,0.6,0.103,-0.6,-0.7,-1.2,0.1
349,Joakim Noah,C,33,MEM,25,331,14.6,0.518,0,0.446,10.5,29.3,19.6,15.7,1.7,4.1,19.7,18.8,0,0.6,0.6,0.085,-4.6,3.5,-1.1,0.1
350,Nerlens Noel,C,24,OKC,47,675,19.9,0.606,0,0.273,11.8,21.2,16.4,5,3.2,8.4,12.8,13.6,1.2,1.8,3,0.212,-1.7,6.1,4.4,1.1
351,Dirk Nowitzki,PF,40,DAL,20,205,7.3,0.464,0.633,0.122,0,16.4,8.4,5.2,0.2,2.4,5,20.7,-0.1,0.2,0,0.011,-4.1,-2.4,-6.5,-0.2
352,Frank Ntilikina,PG,20,NYK,41,872,6.3,0.419,0.4,0.102,1.2,9,4.9,19.2,1.7,1.4,15.8,16.6,-1.2,0.3,-0.8,-0.046,-4.1,-1.1,-5.2,-0.7
353,James Nunnally,SF,28,TOT,15,102,7.4,0.503,0.735,0.118,0,5.4,2.7,9.7,0.5,0,2.7,15.3,0.1,0,0.1,0.038,-1.6,-4.8,-6.4,-0.1
354,Jusuf Nurkic,C,24,POR,51,1397,23.3,0.561,0.043,0.442,13.6,26.2,20,17.8,1.9,4.6,14.7,24.5,2.9,2.5,5.4,0.185,1.3,4,5.3,2.6
355,David Nwaba,SG,26,CLE,21,345,11.9,0.517,0.354,0.505,3.1,16.2,9.4,6.4,1.9,1.7,6.9,16.5,0.2,0.1,0.3,0.047,-2.1,-1.4,-3.5,-0.1
356,Royce O'Neale,SF,25,UTA,53,963,8.9,0.571,0.457,0.156,1.7,17.8,9.8,10,1.7,1.3,17.8,11.5,0.2,1.5,1.6,0.082,-2.7,2.3,-0.4,0.4
357,Kyle O'Quinn,C,28,IND,28,199,15.9,0.51,0.135,0.135,9.7,26.8,18.5,22.6,0.7,6.7,17.8,20.8,0.1,0.4,0.5,0.114,-2.8,4.1,1.3,0.2
358,Semi Ojeleye,PF,24,BOS,38,392,8.6,0.526,0.58,0.179,4.3,11.8,8,4.1,0.7,0.5,9,14.6,0.1,0.4,0.5,0.064,-2.5,-2,-4.5,-0.2
359,Jahlil Okafor,C,23,NOP,33,436,20,0.621,0.006,0.275,12.4,21.4,17,4.4,0.8,4,11.1,20.5,1,0.4,1.4,0.149,-0.8,-1.2,-1.9,0
360,Elie Okobo,PG,21,PHO,35,638,7.7,0.479,0.432,0.146,1.4,10.9,6.1,18.2,1.7,0.7,17,17.9,-0.6,0.2,-0.4,-0.029,-3.7,-1.9,-5.6,-0.6
361,Josh Okogie,SG,20,MIN,43,948,8.1,0.468,0.442,0.332,2.6,11.8,7.1,7.2,2,1.4,10.7,16.5,-0.4,0.8,0.4,0.019,-2.9,0,-2.9,-0.2
362,Victor Oladipo,SG,26,IND,36,1147,17.8,0.519,0.367,0.24,2.1,17.2,9.8,25.1,2.5,0.9,11.2,27.7,0.6,1.9,2.5,0.106,1.3,0.9,2.2,1.2
363,Kelly Olynyk,PF,27,MIA,47,934,14.8,0.611,0.64,0.363,4.8,18.3,11.5,12.2,1.4,1.4,15.5,18.8,1.3,1.2,2.5,0.129,0.9,0,0.9,0.7
364,Cedi Osman,SF,23,CLE,50,1594,10.6,0.528,0.44,0.236,1.9,15.1,8.2,10.7,1.2,0.5,12.4,18.8,0.2,0,0.2,0.007,-1.1,-1.9,-3,-0.4
365,Kelly Oubre,SF,23,TOT,51,1356,14,0.545,0.429,0.29,3.5,15.1,9.2,6,1.7,2.8,9.5,22.4,0.5,0.9,1.4,0.05,-1.5,-1.4,-2.9,-0.3
366,Zaza Pachulia,C,34,DET,40,586,15.4,0.534,0.03,0.654,13.4,21.5,17.3,14.8,2.2,1.6,16.6,14.9,0.9,0.9,1.8,0.149,-1.2,3.1,1.8,0.6
367,Jabari Parker,PF,23,CHI,39,1042,14.7,0.543,0.246,0.233,4.3,20.8,12.5,13.8,1.1,1.2,14.1,25.2,-0.2,0.9,0.7,0.03,-2,-0.7,-2.7,-0.2
368,Tony Parker,PG,36,CHO,44,816,15.8,0.512,0.103,0.294,1.3,7.2,4.2,34.1,1,0.5,12.2,25.5,0.7,0.4,1.1,0.063,-1.1,-3.7,-4.9,-0.6
369,Chandler Parsons,SF,30,MEM,3,46,7,0.5,0.588,0,2.4,7.7,5,7.1,1.1,2.1,10.5,18.8,0,0,0,-0.003,-3.6,-2,-5.6,0
370,Patrick Patterson,PF,29,OKC,51,745,8.7,0.501,0.631,0.149,4.9,12,8.4,4.8,0.8,1.3,8,12.3,0.4,0.8,1.2,0.076,-2.5,-0.7,-3.2,-0.2
371,Chris Paul,PG,33,HOU,29,943,18.6,0.553,0.464,0.281,2,12.4,7,38.4,3.1,0.7,17,22.4,1.8,0.8,2.6,0.133,2.1,-0.9,1.2,0.8
372,Cameron Payne,PG,24,TOT,40,712,11.7,0.519,0.377,0.184,2,9.2,5.5,22.5,1.9,1.1,15.7,17.7,0.1,0.4,0.5,0.033,-2,-1.5,-3.5,-0.3
373,Elfrid Payton,PG,24,NOP,19,512,12.7,0.504,0.216,0.181,2.9,11.2,7.2,28.5,2,0.8,19.6,18.6,0.1,0.3,0.4,0.042,-1.5,-0.7,-2.2,0
374,Gary Payton,PG,26,WAS,3,16,37.3,0.688,0.25,0,6.7,7.1,6.9,46.2,8.9,5.4,11.1,24.1,0.1,0,0.1,0.369,10,5.5,15.4,0.1
375,Theo Pinson,SG,23,BRK,9,124,8.5,0.507,0.556,0.278,1.7,14.8,8.2,16.8,1.2,0,19.8,17.2,0,0.1,0.1,0.023,-3.3,-1.2,-4.5,-0.1
376,Mason Plumlee,C,28,DEN,51,1000,18.7,0.609,0.019,0.5,11.1,21.4,16.3,18,2.3,3.9,18.9,17,1.8,1.7,3.5,0.168,0.5,3.7,4.2,1.6
377,Miles Plumlee,C,30,ATL,18,173,18.9,0.654,0,0.625,9.6,14.5,12,14.9,1.6,2,14,16.7,0.4,0.1,0.5,0.145,0.3,-0.2,0.1,0.1
378,Jakob Poeltl,C,23,SAS,49,722,18.6,0.632,0,0.396,15.7,19.3,17.5,11.2,0.6,3.7,14.3,14.1,2,0.7,2.7,0.181,1.6,1.5,3.1,0.9
379,Quincy Pondexter,SF,30,SAS,38,211,14.1,0.653,0.381,0.833,3.7,15.5,9.7,10.4,1.8,0.4,14.8,14,0.4,0.2,0.6,0.141,0.1,-0.7,-0.6,0.1
380,Otto Porter,SF,25,WAS,39,1119,15.1,0.554,0.405,0.135,3.4,18.3,10.6,9.9,2.5,1.5,8,18.3,1,1.1,2.1,0.091,-0.3,0.5,0.2,0.6
381,Bobby Portis,PF,23,CHI,21,497,16.3,0.515,0.258,0.19,9.6,23.6,16.6,10.2,0.9,1.4,9.4,26.3,0.1,0.4,0.5,0.053,-1.5,-1.7,-3.2,-0.1
382,Dwight Powell,C,27,DAL,47,774,19.8,0.65,0.26,0.512,8.7,17.9,13.4,9.4,1.4,3,10.8,18.9,2.2,1,3.2,0.201,1.7,1.1,2.8,0.9
383,Norman Powell,SG,25,TOR,31,578,13.4,0.605,0.423,0.19,0.8,10.1,5.5,11.5,1.9,1,12,17.2,0.7,0.6,1.3,0.111,0.1,-0.2,-0.1,0.3
384,Alex Poythress,PF,25,ATL,18,243,12.8,0.593,0.277,0.323,10.3,15.7,12.9,7.6,0.6,2.8,11.9,14,0.4,0.1,0.5,0.094,-1,-0.8,-1.8,0
385,Zhou Qi,PF,23,HOU,1,1,81.4,1,0,0,0,0,0,0,0,0,0,43.4,0,0,0,1.264,22.5,-13.3,9.2,0
386,Ivan Rabb,PF,21,MEM,23,194,18.4,0.63,0.033,0.361,14.5,25.6,19.9,12.5,0.5,2,18.5,20.3,0.3,0.2,0.6,0.14,-1.5,0,-1.5,0
387,Chasson Randle,PG,25,WAS,21,324,11,0.594,0.5,0.37,2,7,4.4,17.5,1.8,0.3,17.7,17.2,0.3,0.1,0.4,0.058,-1.1,-2.6,-3.7,-0.1
388,Julius Randle,C,24,NOP,47,1390,21.6,0.613,0.139,0.477,7.8,25,16.6,15.1,0.9,1.7,13.7,26.3,3.2,1.2,4.5,0.154,1.8,-0.2,1.5,1.2
389,J.J. Redick,SG,34,PHI,50,1553,15.2,0.6,0.576,0.236,1.1,6.3,3.8,13.5,0.6,0.5,8.4,22.5,3.1,0.8,3.8,0.119,2.6,-3.6,-1,0.4
390,Davon Reed,SG,23,IND,6,15,3.7,0.5,0.333,0,0,7.3,3.7,16.7,0,0,25,11.6,0,0,0,0.001,-5.9,-3,-9,0
391,Josh Richardson,SG,25,MIA,48,1659,14.2,0.53,0.448,0.228,2.3,9.1,5.7,17.3,1.6,1.2,9.2,22.2,1.8,1.7,3.6,0.103,1,-0.7,0.4,1
392,Malachi Richardson,SG,23,TOR,22,103,1.1,0.481,0.862,0.172,2.1,11.3,6.8,0,0.5,0,20.4,16.3,-0.2,0.1,-0.1,-0.06,-5.9,-4.5,-10.5,-0.2
393,Austin Rivers,SG-PG,26,TOT,48,1356,7.8,0.5,0.582,0.159,1.5,8.4,4.9,12.7,1.1,1.1,11.1,14.6,0.2,0.3,0.5,0.018,-1.9,-1.7,-3.6,-0.5
394,Devin Robinson,SF,23,WAS,4,32,26.4,0.607,0,0.462,6.7,17.6,12.1,10.3,4.4,2.7,0,20.9,0.1,0.1,0.2,0.23,1.3,1.3,2.7,0
395,Duncan Robinson,PF,24,MIA,4,29,6.6,0.5,1,0,0,18.4,9.1,0,1.7,0,0,8.8,0,0,0,0.066,-4.5,-2.8,-7.3,0
396,Glenn Robinson,SF,25,DET,31,424,6.9,0.483,0.359,0.282,2.2,7.8,4.9,4.5,1.3,1,10.2,14.7,-0.1,0.4,0.2,0.026,-4.4,-0.5,-4.9,-0.3
397,Jerome Robinson,SG,21,LAC,16,141,10.3,0.578,0.588,0.039,2.3,9.4,6,3.1,0.7,1.1,3.7,16.2,0.1,0.1,0.2,0.074,0,-3.1,-3.1,0
398,Mitchell Robinson,C,20,NYK,36,618,18.7,0.663,0,0.405,12.4,12.4,12.4,4.8,2,9.7,11.8,11.1,1.4,0.8,2.2,0.169,0.2,5.2,5.4,1.1
399,Rajon Rondo,PG,32,LAL,18,493,13.7,0.501,0.248,0.098,2.8,15.8,9.6,36.9,1.7,0.3,20.4,16.8,0.3,0.6,0.9,0.092,-1.3,0.2,-1.1,0.1
400,Derrick Rose,PG,30,MIN,38,1101,19.6,0.565,0.222,0.215,2.4,8.1,5.2,27.5,1,0.8,9.3,26.2,2.4,0.4,2.8,0.124,2.9,-2.6,0.2,0.6
401,Terrence Ross,SG,27,ORL,52,1378,14.8,0.553,0.505,0.118,1.5,12.2,6.7,9.7,1.7,1.2,7.4,23.1,0.8,1.4,2.2,0.076,0.5,-1.4,-0.9,0.4
402,Terry Rozier,PG,24,BOS,52,1195,13.3,0.495,0.499,0.145,2.2,16.9,9.5,18.7,1.9,1.1,8.9,18.3,0.8,1.8,2.6,0.106,-0.8,0.7,0,0.6
403,Ricky Rubio,PG,28,UTA,46,1320,13.3,0.518,0.376,0.263,1.5,11.4,6.5,32.6,2.2,0.6,18.9,23.2,0.1,1.8,2,0.071,-0.8,0.3,-0.5,0.5
404,D'Angelo Russell,PG,22,BRK,52,1541,19.1,0.535,0.412,0.115,2,11.7,6.9,38.2,1.9,0.8,13.5,30.2,1.8,1.4,3.2,0.101,3.4,-0.8,2.7,1.8
405,Domantas Sabonis,C,22,IND,49,1220,22.9,0.647,0.02,0.413,12,29,20.7,17.5,1.2,1.7,16.3,23.1,3.3,2.2,5.5,0.217,2.1,2.1,4.1,1.9
406,Brandon Sampson,SG,21,CHI,1,12,15.5,1.25,0.5,0,0,18.1,9,0,0,0,0,7.3,0,0,0,0.199,2.1,-5.3,-3.2,0
407,Dario Saric,PF,24,TOT,50,1236,11.6,0.536,0.473,0.209,6.2,18.1,12.2,8.7,1,0.4,11.4,17.2,0.9,1,1.9,0.074,-0.7,-1,-1.7,0.1
408,Tomas Satoransky,SG,27,WAS,51,1219,13.9,0.589,0.3,0.279,3.6,9.9,6.7,22.7,2,0.6,15.5,13.9,2,0.7,2.7,0.107,0,-0.7,-0.8,0.4
